,material-dict-coolant-ID-0,material-dict-fuel-density,lethargy-fission-causing-neutrons,neutrons-per-fission,source-entropy-stable-cycle,geometry-dict-poison-radius,criticality-dict-particles-per-cycle,prompt-removal-lifetime,geometry-dict-margin,material-dict-gap-ID-0,geometry-dict-clad-thickness,fast-fission,material-dict-clad-name,criticality-dict-skipped-cycles,criticality-dict-ksrc,material-dict-fuel-name,material-dict-clad-ID-0,geometry-dict-hex-height,material-dict-gap-density,prompt-removal-lifetime-std,condition-dict-coolant,energy-fission-causing-neutrons,geometry-dict-gap-width,material-dict-coolant-density,geometry-dict-fuel-radius,description,criticality,material-dict-fuel-ID-0,geometry-dict-clad-radius,epithermal-fission,source-entropy,source-entropy-std,material-dict-clad-density,material-dict-coolant-name,geometry-dict-hex-facet-1,geometry-dict-hex-facet-0,geometry-dict-hex-facet-2,geometry-dict-hex-base,criticality-std,thermal-fission,condition-dict-poison,criticality-dict-total-cycles,geometry-dict-gap-radius,criticality-dict-criticality-guess,geometry-dict-poison-thickness,material-dict-gap-name
10,0013,-13.43672,8.6102e-05,2.4,2.0,0.56874999999999998,50000,1.2629e-05,1.0752929687499999,0011,0.1,8.17,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.1422e-07,True,0.18906,0.04,-2.1228808,0.56874999999999998,UC - None - 0.569 cm radius - 1.075 cm margin,0.8301,0001,0.70874999999999999,75.31,7.73,0.00327,-2.8,flibe,0.892021484375  -1.54502653238  0.0  ,1.78404296875  0.0  0.0  ,-0.892021484375  -1.54502653238  0.0  ,0.0  0.0  -2.5,0.00029,16.52,False,80,0.60875000000000001,1.0,0.0,helium
11,0013,-13.43672,0.0011179,2.4,8.0,0.10000000000000001,50000,3.9331e-06,0.025000000000000001,0011,0.1,15.48,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,8.2403e-09,True,0.32276,0.04,-2.1228808,0.10000000000000001,UC - None - 0.100 cm radius - 0.025 cm margin,0.71528,0001,0.24000000000000002,82.43,4.17,0.00732,-2.8,flibe,0.1325  -0.229496732003  0.0  ,0.265  0.0  0.0  ,-0.1325  -0.229496732003  0.0  ,0.0  0.0  -2.5,0.00019,2.08,False,80,0.14000000000000001,1.0,0.0,helium
12,0013,-13.43672,0.00010986,2.4,1.0,0.25624999999999998,50000,1.0489e-05,0.42841796874999999,0011,0.1,7.99,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,6.3201e-08,True,0.17898,0.04,-2.1228808,0.25624999999999998,UC - None - 0.256 cm radius - 0.428 cm margin,0.7622,0001,0.39624999999999999,78.08,6.34,0.00342,-2.8,flibe,0.412333984375  -0.714183410625  0.0  ,0.82466796875  0.0  0.0  ,-0.412333984375  -0.714183410625  0.0  ,0.0  0.0  -2.5,0.00027,13.94,False,80,0.29624999999999996,1.0,0.0,helium
13,0013,-13.43672,9.1038e-05,2.4,1.0,0.28749999999999998,50000,1.1635e-05,0.51210937499999998,0011,0.1,7.68,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,7.8058e-08,True,0.17335,0.04,-2.1228808,0.28749999999999998,UC - None - 0.287 cm radius - 0.512 cm margin,0.77435,0001,0.42749999999999999,76.85,6.4,0.00315,-2.8,flibe,0.4698046875  -0.813725588384  0.0  ,0.939609375  0.0  0.0  ,-0.4698046875  -0.813725588384  0.0  ,0.0  0.0  -2.5,0.00025,15.47,False,80,0.32749999999999996,1.0,0.0,helium
14,0013,-13.43672,8.4743e-05,2.4,2.0,0.19374999999999998,50000,1.1724e-05,0.32392578124999999,0011,0.1,7.38,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,9.0731e-08,True,0.16477,0.04,-2.1228808,0.19374999999999998,UC - None - 0.194 cm radius - 0.324 cm margin,0.74935,0001,0.33374999999999999,76.7,6.08,0.00375,-2.8,flibe,0.328837890625  -0.569563934016  0.0  ,0.65767578125  0.0  0.0  ,-0.328837890625  -0.569563934016  0.0  ,0.0  0.0  -2.5,0.00022,15.92,False,80,0.23374999999999999,1.0,0.0,helium
15,0013,-13.43672,0.00028799,2.4,2.0,0.56874999999999998,50000,6.9743e-06,0.82646484374999996,0011,0.1,10.73,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,5.0107e-08,True,0.24384,0.04,-2.1228808,0.56874999999999998,UC - None - 0.569 cm radius - 0.826 cm margin,0.79638,0001,0.70874999999999999,81.33,7.73,0.00242,-2.8,flibe,0.767607421875  -1.32953505495  0.0  ,1.53521484375  0.0  0.0  ,-0.767607421875  -1.32953505495  0.0  ,0.0  0.0  -2.5,0.00024,7.94,False,80,0.60875000000000001,1.0,0.0,helium
16,0013,-13.43672,0.00015512,2.4,3.0,0.56874999999999998,50000,9.4705e-06,0.95087890624999993,0011,0.1,9.31,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,7.5653e-08,True,0.21375,0.04,-2.1228808,0.56874999999999998,UC - None - 0.569 cm radius - 0.951 cm margin,0.81231,0001,0.70874999999999999,78.71,7.73,0.00271,-2.8,flibe,0.829814453125  -1.43728079367  0.0  ,1.65962890625  0.0  0.0  ,-0.829814453125  -1.43728079367  0.0  ,0.0  0.0  -2.5,0.00027,11.98,False,80,0.60875000000000001,1.0,0.0,helium
17,0013,-13.43672,7.3297e-05,2.4,1.0,0.31874999999999998,50000,1.3056e-05,0.60263671874999991,0011,0.1,7.35,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,9.4762e-08,True,0.167,0.04,-2.1228808,0.31874999999999998,UC - None - 0.319 cm radius - 0.603 cm margin,0.7885,0001,0.45874999999999999,75.37,6.57,0.00465,-2.8,flibe,0.530693359375  -0.919187861677  0.0  ,1.06138671875  0.0  0.0  ,-0.530693359375  -0.919187861677  0.0  ,0.0  0.0  -2.5,0.00031,17.29,False,80,0.35874999999999996,1.0,0.0,helium
18,0013,-13.43672,0.003741,2.4,5.0,0.44374999999999998,50000,1.7749e-06,0.25654296874999999,0011,0.1,20.53,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,4.3259e-09,True,0.44597,0.04,-2.1228808,0.44374999999999998,UC - None - 0.444 cm radius - 0.257 cm margin,0.7693,0001,0.58374999999999999,79.2,7.42,0.00403,-2.8,flibe,0.420146484375  -0.727715057559  0.0  ,0.84029296875  0.0  0.0  ,-0.420146484375  -0.727715057559  0.0  ,0.0  0.0  -2.5,0.00019,0.26,False,80,0.48374999999999996,1.0,0.0,helium
19,0013,-13.43672,0.0083035,2.4,2.0,0.44374999999999998,50000,1.2187e-06,0.15947265624999998,0011,0.1,25.66,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,2.4394e-09,True,0.54946,0.04,-2.1228808,0.44374999999999998,UC - None - 0.444 cm radius - 0.159 cm margin,0.77666,0001,0.58374999999999999,74.3,7.42,0.00349,-2.8,flibe,0.371611328125  -0.643649700981  0.0  ,0.74322265625  0.0  0.0  ,-0.371611328125  -0.643649700981  0.0  ,0.0  0.0  -2.5,0.0002,0.04,False,80,0.48374999999999996,1.0,0.0,helium
20,0013,-13.43672,0.00097627,2.4,2.0,0.28749999999999998,50000,3.5705e-06,0.26054687499999996,0011,0.1,14.08,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.4475e-08,True,0.30888,0.04,-2.1228808,0.28749999999999998,UC - None - 0.287 cm radius - 0.261 cm margin,0.74677,0001,0.42749999999999999,83.68,6.4,0.00291,-2.8,flibe,0.3440234375  -0.595866072744  0.0  ,0.688046875  0.0  0.0  ,-0.3440234375  -0.595866072744  0.0  ,0.0  0.0  -2.5,0.0002,2.24,False,80,0.32749999999999996,1.0,0.0,helium
21,0013,-13.43672,0.004335,2.4,5.0,0.56874999999999998,50000,1.6322e-06,0.32880859374999999,0011,0.1,21.43,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,4.127e-09,True,0.46692,0.04,-2.1228808,0.56874999999999998,UC - None - 0.569 cm radius - 0.329 cm margin,0.77651,0001,0.70874999999999999,78.36,7.72,0.00286,-2.8,flibe,0.518779296875  -0.898552100102  0.0  ,1.03755859375  0.0  0.0  ,-0.518779296875  -0.898552100102  0.0  ,0.0  0.0  -2.5,0.0002,0.21,False,80,0.60875000000000001,1.0,0.0,helium
22,0013,-13.43672,0.00025895,2.4,2.0,0.19374999999999998,50000,7.0434e-06,0.23916015624999998,0011,0.1,9.85,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,3.6919e-08,True,0.21664,0.04,-2.1228808,0.19374999999999998,UC - None - 0.194 cm radius - 0.239 cm margin,0.73233,0001,0.33374999999999999,82.15,6.08,0.00506,-2.8,flibe,0.286455078125  -0.496154749399  0.0  ,0.57291015625  0.0  0.0  ,-0.286455078125  -0.496154749399  0.0  ,0.0  0.0  -2.5,0.00023,8.0,False,80,0.23374999999999999,1.0,0.0,helium
23,0013,-13.43672,0.00022838,2.4,3.0,0.31874999999999998,50000,7.4687e-06,0.46318359374999996,0011,0.1,9.69,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,4.9443e-08,True,0.21664,0.04,-2.1228808,0.31874999999999998,UC - None - 0.319 cm radius - 0.463 cm margin,0.7626,0001,0.45874999999999999,81.39,6.57,0.00405,-2.8,flibe,0.460966796875  -0.79841791279  0.0  ,0.92193359375  0.0  0.0  ,-0.460966796875  -0.79841791279  0.0  ,0.0  0.0  -2.5,0.00021,8.91,False,80,0.35874999999999996,1.0,0.0,helium
24,0013,-13.43672,0.0023007,2.4,2.0,0.25624999999999998,50000,2.3421e-06,0.14814453124999999,0011,0.1,17.97,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,7.2328e-09,True,0.38821,0.04,-2.1228808,0.25624999999999998,UC - None - 0.256 cm radius - 0.148 cm margin,0.75065,0001,0.39624999999999999,81.41,6.34,0.00357,-2.8,flibe,0.272197265625  -0.471459493744  0.0  ,0.54439453125  0.0  0.0  ,-0.272197265625  -0.471459493744  0.0  ,0.0  0.0  -2.5,0.00023,0.63,False,80,0.29624999999999996,1.0,0.0,helium
25,0013,-13.43672,0.00054949,2.4,2.0,0.56874999999999998,50000,4.9344e-06,0.70205078124999998,0011,0.1,12.47,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,2.9029e-08,True,0.28051,0.04,-2.1228808,0.56874999999999998,UC - None - 0.569 cm radius - 0.702 cm margin,0.78421,0001,0.70874999999999999,82.94,7.73,0.00293,-2.8,flibe,0.705400390625  -1.22178931624  0.0  ,1.41080078125  0.0  0.0  ,-0.705400390625  -1.22178931624  0.0  ,0.0  0.0  -2.5,0.00027,4.58,False,80,0.60875000000000001,1.0,0.0,helium
26,0013,-13.43672,0.00046541,2.4,1.0,0.19374999999999998,50000,5.2803e-06,0.19677734374999997,0011,0.1,11.48,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,2.4509e-08,True,0.25141,0.04,-2.1228808,0.19374999999999998,UC - None - 0.194 cm radius - 0.197 cm margin,0.72982,0001,0.33374999999999999,83.6,6.08,0.00512,-2.8,flibe,0.265263671875  -0.45945015709  0.0  ,0.53052734375  0.0  0.0  ,-0.265263671875  -0.45945015709  0.0  ,0.0  0.0  -2.5,0.00021,4.91,False,80,0.23374999999999999,1.0,0.0,helium
27,0013,-13.43672,0.00060614,2.4,2.0,0.34999999999999998,50000,4.5888e-06,0.39374999999999999,0011,0.1,12.46,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.8955e-08,True,0.27632,0.04,-2.1228808,0.34999999999999998,UC - None - 0.350 cm radius - 0.394 cm margin,0.75656,0001,0.48999999999999999,83.62,6.86,0.00542,-2.8,flibe,0.441875  -0.765349950594  0.0  ,0.88375  0.0  0.0  ,-0.441875  -0.765349950594  0.0  ,0.0  0.0  -2.5,0.0002,3.92,False,80,0.38999999999999996,1.0,0.0,helium
28,0013,-13.43672,0.016407,2.5,3.0,0.59999999999999998,50000,8.7881e-07,0.14999999999999999,0011,0.1,30.77,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.641e-09,True,0.65139,0.04,-2.1228808,0.59999999999999998,UC - None - 0.600 cm radius - 0.150 cm margin,0.78705,0001,0.73999999999999999,69.22,7.77,0.00331,-2.8,flibe,0.445  -0.770762609368  0.0  ,0.89  0.0  0.0  ,-0.445  -0.770762609368  0.0  ,0.0  0.0  -2.5,0.00022,0.01,False,80,0.64000000000000001,1.0,0.0,helium
29,0013,-13.43672,0.00014643,2.4,2.0,0.44374999999999998,50000,9.5846e-06,0.74189453124999993,0011,0.1,8.94,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,5.8204e-08,True,0.20337,0.04,-2.1228808,0.44374999999999998,UC - None - 0.444 cm radius - 0.742 cm margin,0.79528,0001,0.58374999999999999,78.93,7.43,0.00523,-2.8,flibe,0.662822265625  -1.14804184045  0.0  ,1.32564453125  0.0  0.0  ,-0.662822265625  -1.14804184045  0.0  ,0.0  0.0  -2.5,0.00025,12.14,False,80,0.48374999999999996,1.0,0.0,helium
30,0013,-13.43672,0.00035061,2.4,2.0,0.25624999999999998,50000,6.0354e-06,0.31630859374999998,0011,0.1,10.71,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,3.5325e-08,True,0.23712,0.04,-2.1228808,0.25624999999999998,UC - None - 0.256 cm radius - 0.316 cm margin,0.74432,0001,0.39624999999999999,82.94,6.34,0.00273,-2.8,flibe,0.356279296875  -0.617093843872  0.0  ,0.71255859375  0.0  0.0  ,-0.356279296875  -0.617093843872  0.0  ,0.0  0.0  -2.5,0.00024,6.36,False,80,0.29624999999999996,1.0,0.0,helium
31,0013,-13.43672,8.4677e-05,2.4,4.0,0.50624999999999998,50000,1.2727e-05,0.95712890624999991,0011,0.1,8.0,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,8.6293e-08,True,0.184,0.04,-2.1228808,0.50624999999999998,UC - None - 0.506 cm radius - 0.957 cm margin,0.82051,0001,0.64624999999999999,75.52,7.61,0.00272,-2.8,flibe,0.801689453125  -1.3885668647  0.0  ,1.60337890625  0.0  0.0  ,-0.801689453125  -1.3885668647  0.0  ,0.0  0.0  -2.5,0.00026,16.48,False,80,0.54625000000000001,1.0,0.0,helium
32,0013,-13.43672,1.5814e-05,2.4,1.0,0.10000000000000001,50000,2.4481e-05,0.20000000000000001,0011,0.1,4.63,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.8469e-07,True,0.10282,0.04,-2.1228808,0.10000000000000001,UC - None - 0.100 cm radius - 0.200 cm margin,0.74558,0001,0.24000000000000002,63.91,4.18,0.00784,-2.8,flibe,0.22  -0.381051177665  0.0  ,0.44  0.0  0.0  ,-0.22  -0.381051177665  0.0  ,0.0  0.0  -2.5,0.00026,31.46,False,80,0.14000000000000001,1.0,0.0,helium
33,0013,-13.43672,0.0001529,2.4,1.0,0.16249999999999998,50000,9.0162e-06,0.21835937499999997,0011,0.1,8.58,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,4.728e-08,True,0.189,0.04,-2.1228808,0.16249999999999998,UC - None - 0.162 cm radius - 0.218 cm margin,0.7287,0001,0.30249999999999999,79.99,5.78,0.00599,-2.8,flibe,0.2604296875  -0.451077450549  0.0  ,0.520859375  0.0  0.0  ,-0.2604296875  -0.451077450549  0.0  ,0.0  0.0  -2.5,0.00023,11.43,False,80,0.20249999999999999,1.0,0.0,helium
34,0013,-13.43672,0.0016904,2.4,2.0,0.16249999999999998,50000,2.8806e-06,0.076171874999999986,0011,0.1,16.72,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,6.8182e-09,True,0.3569,0.04,-2.1228808,0.16249999999999998,UC - None - 0.162 cm radius - 0.076 cm margin,0.73503,0001,0.30249999999999999,82.22,5.77,0.00471,-2.8,flibe,0.1893359375  -0.327939463449  0.0  ,0.378671875  0.0  0.0  ,-0.1893359375  -0.327939463449  0.0  ,0.0  0.0  -2.5,0.00019,1.06,False,80,0.20249999999999999,1.0,0.0,helium
35,0013,-13.43672,0.0016121,2.4,1.0,0.19374999999999998,50000,2.8685e-06,0.11201171874999999,0011,0.1,16.33,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,8.1935e-09,True,0.3517,0.04,-2.1228808,0.19374999999999998,UC - None - 0.194 cm radius - 0.112 cm margin,0.73878,0001,0.33374999999999999,82.55,6.07,0.0053,-2.8,flibe,0.222880859375  -0.386040972472  0.0  ,0.44576171875  0.0  0.0  ,-0.222880859375  -0.386040972472  0.0  ,0.0  0.0  -2.5,0.00017,1.12,False,80,0.23374999999999999,1.0,0.0,helium
36,0013,-13.43672,7.9262e-05,2.4,3.0,0.38124999999999998,50000,1.2592e-05,0.72080078124999991,0011,0.1,7.62,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.0225e-07,True,0.17387,0.04,-2.1228808,0.38124999999999998,UC - None - 0.381 cm radius - 0.721 cm margin,0.79989,0001,0.52124999999999999,75.59,7.11,0.0058,-2.8,flibe,0.621025390625  -1.07564752935  0.0  ,1.24205078125  0.0  0.0  ,-0.621025390625  -1.07564752935  0.0  ,0.0  0.0  -2.5,0.00032,16.78,False,80,0.42124999999999996,1.0,0.0,helium
37,0013,-13.43672,0.0051911,2.4,2.0,0.41249999999999998,50000,1.5235e-06,0.193359375,0011,0.1,22.53,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,3.7002e-09,True,0.48568,0.04,-2.1228808,0.41249999999999998,UC - None - 0.412 cm radius - 0.193 cm margin,0.77051,0001,0.55249999999999999,77.35,7.28,0.00534,-2.8,flibe,0.3729296875  -0.645933166401  0.0  ,0.745859375  0.0  0.0  ,-0.3729296875  -0.645933166401  0.0  ,0.0  0.0  -2.5,0.00019,0.13,False,80,0.45249999999999996,1.0,0.0,helium
38,0013,-13.43672,5.0817e-05,2.4,2.0,0.19374999999999998,50000,1.4846e-05,0.36630859374999997,0011,0.1,6.47,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,1.1322e-07,True,0.14485,0.04,-2.1228808,0.19374999999999998,UC - None - 0.194 cm radius - 0.366 cm margin,0.76091,0001,0.33374999999999999,73.27,6.08,0.0044,-2.8,flibe,0.350029296875  -0.606268526325  0.0  ,0.70005859375  0.0  0.0  ,-0.350029296875  -0.606268526325  0.0  ,0.0  0.0  -2.5,0.00028,20.26,False,80,0.23374999999999999,1.0,0.0,helium
39,0013,-13.43672,0.00024617,2.4,2.0,0.13124999999999998,50000,7.4462e-06,0.13330078124999997,0011,0.1,9.76,SiC-SiC,10,0.0  0.0  0.0,uranium-carbide,0012,0.0  0.0  5.0,-4.1031e-05,3.8718e-08,True,0.21219,0.04,-2.1228808,0.13124999999999998,UC - None - 0.131 cm radius - 0.133 cm margin,0.71435,0001,0.27124999999999999,81.87,5.22,0.00711,-2.8,flibe,0.202275390625  -0.350351253683  0.0  ,0.40455078125  0.0  0.0  ,-0.202275390625  -0.350351253683  0.0  ,0.0  0.0  -2.5,0.00025,8.37,False,80,0.17124999999999999,1.0,0.0,helium
